ID_ESTUDIOS,ESTATUS DE ESTUDIO,AÑO,ESTADOS,TITULO_ORIGINAL,TITULO_BUSQUEDA,FUENTE
0001_TS,FÍSICO,1972,SAN LUIS POTOSÍ,"ABASTECIMIENTO DE AGUA POTABLE PARA RAYÓN, S. L. P. 
","ABASTECIMIENTO DE AGUA POTABLE PARA RAYÓN, SAN LUIS POTOSÍ
",UNIVERSIDAD AUTÓNOMA DE SAN LUIS POTOSÍ (UASLP)
0002_TS,FÍSICO,1973,SAN LUIS POTOSÍ,"ESTUDIO GEOHIDROLÓGICO DE LA CUENCA DE VILLA DE ARISTA, S.L.P.
","ESTUDIO GEOHIDROLÓGICO DE LA CUENCA DE VILLA DE ARISTA, SAN LUIS POTOSÍ",UNIVERSIDAD AUTÓNOMA DE SAN LUIS POTOSÍ (UASLP)
0007_TS,FÍSICO,1979,MICHOACÁN,"RECONOCIMIENTO GEOLÓGICO-GEOMORFOLÓGICO EN LA REGIÓN NE DEL EDO. DE MICHOACÁN (HOJA CD. HIDALGO, ESCALA 1:50 000)
","RECONOCIMIENTO GEOLÓGICO-GEOMORFOLÓGICO EN LA REGIÓN NE DEL EDO. DE MICHOACÁN (HOJA CD. HIDALGO, ESCALA 1:50 000)
",INSTITUTO POLITÉCNICO NACIONAL (IPN)
0008_TS,FÍSICO,1980,VERACRUZ,"ESTUDIO GEOLÓGICO DEL AREA DEL PROYECTO NUCLEOELÉCTRICO LAGUNA VERDE, VER.
","ESTUDIO GEOLÓGICO DEL AREA DEL PROYECTO NUCLEOELÉCTRICO LAGUNA VERDE, VERACRUZ
",INSTITUTO POLITÉCNICO NACIONAL (IPN)
0011_TS,FÍSICO,1984,NUEVO LEÓN,"ESTUDIO GEOHIDROLÓGICO PRELIMINAR DEL ÁREA SAN JERÓNIMO MONTERREY, N.L.
","ESTUDIO GEOHIDROLÓGICO PRELIMINAR DEL ÁREA SAN JERÓNIMO MONTERREY, NUEVO LEÓN
",UNIVERSIDAD AUTÓNOMA DE SAN LUIS POTOSÍ (UASLP)
0012_TS,FÍSICO,1986,VERACRUZ,"ESTUDIO DE FACTIBILIDAD TÉCNICA PARA EL ABASTECIMIENTO DE AGUA A LA CIUDAD DE VERACRUZ, VERACRUZ
","ESTUDIO DE FACTIBILIDAD TÉCNICA PARA EL ABASTECIMIENTO DE AGUA A LA CIUDAD DE VERACRUZ, VERACRUZ
",UNIVERSIDAD IBEROAMERICANA (IBERO)
0013_TS,FÍSICO,1988,MEXICO,"PROPIEDADES GEOELÉCTRICAS DE LAS PRINCIPALES UNIDADES ACUÍFERAS DE LA CUENCA DE MÉXICO
","PROPIEDADES GEOELÉCTRICAS DE LAS PRINCIPALES UNIDADES ACUÍFERAS DE LA CUENCA DE MÉXICO
",INSTITUTO POLITÉCNICO NACIONAL (IPN)
0014_TS,FÍSICO,1988,NUEVO LEÓN  SAN LUIS POTOSÍ,"DETERMINACIÓN DEL MARCO HIDROGEOLÓGICO DE LA ZONA DR. ARROYO - MATEHUALA, ESTADOS DE NUEVO LEON Y SAN LUIS POTOSÍ, A PARTIR DEL ANÁLISIS GEOLÓGICO -ESTRUCTURAL.
","DETERMINACIÓN DEL MARCO HIDROGEOLÓGICO DE LA ZONA DR. ARROYO - MATEHUALA, ESTADOS DE NUEVO LEON Y SAN LUIS POTOSÍ, A PARTIR DEL ANÁLISIS GEOLÓGICO -ESTRUCTURAL.
",UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM)
0015_TS,FÍSICO,1990,CHIHUAHUA,"PROSPECCIÓN GEOHIDROLÓGICA Y PERFORACIÓN EXPLORATORIA DE LA ZONA CONEJOS-MEDANOS COMO ALTERNATIVA PARA EL ABASTECIMIENTO DE AGUA POTABLE DE CD. JUAREZ, CHIH 
","PROSPECCIÓN GEOHIDROLÓGICA Y PERFORACIÓN EXPLORATORIA DE LA ZONA CONEJOS-MEDANOS COMO ALTERNATIVA PARA EL ABASTECIMIENTO DE AGUA POTABLE DE CIUDAD JUAREZ, CHIHUAHUA
",INSTITUTO TECNOLÓGICO DE CIUDAD MADERO
0016_TS,FÍSICO,1991,GUANAJUATO,"ESTUDIO GEOHIDROLÓGICO DE LA REGIÓN DEL BAJÍO IRAPUATO - SALAMANCA - CELAYA ESTADO DE GUANAJUATO
","ESTUDIO GEOHIDROLÓGICO DE LA REGIÓN DEL BAJÍO IRAPUATO - SALAMANCA - CELAYA ESTADO DE GUANAJUATO
",INSTITUTO POLITÉCNICO NACIONAL (IPN)
0017_TS,FÍSICO,1991,SONORA,"ESTUDO HIDROGEOQUÍMICO DE LA COSTA DE HERMOSILLO Y EL VALLE DE GUAYMAS EN EL ESTADO OE SONORA
","ESTUDO HIDROGEOQUÍMICO DE LA COSTA DE HERMOSILLO Y EL VALLE DE GUAYMAS EN EL ESTADO OE SONORA
",INSTITUTO POLITÉCNICO NACIONAL (IPN)
0018_TS,FÍSICO,1991,SONORA,"MODEL0 DE SIMULACIÓN DEL ACUIFER0 DEL VALLE COYOTE-COSTA, CABORCA, SONORA.
","MODEL0 DE SIMULACIÓN DEL ACUIFER0 DEL VALLE COYOTE-COSTA, CABORCA, SONORA.
",UNIVERSIDAD AUTONOMA DE CHAPINGO (UACh)
0019_TS,FÍSICO,1991,SONORA,"ADAPTABILIDAD DE UN CULTIVO RENTABLE A LAS CONDICIONES DE SALINIDAD EXISTENTES EN LA ZONA DE DESEMBOQUE, UBICADA DENTRO DEL VALLE DE COYOTE-COSTA EN CABORCA, SON.
","ADAPTABILIDAD DE UN CULTIVO RENTABLE A LAS CONDICIONES DE SALINIDAD EXISTENTES EN LA ZONA DE DESEMBOQUE, UBICADA DENTRO DEL VALLE DE COYOTE-COSTA EN CABORCA, SONORA
",UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM)
0020_TS,FÍSICO,1992,ZACATECAS,"ESTUDIO GEOHIDROLÓGICO DE LA ZONA JEREZ- CALERA -CHUPADEROS EN EL ESTADO DE ZACATECAS.
","ESTUDIO GEOHIDROLÓGICO DE LA ZONA JEREZ- CALERA -CHUPADEROS EN EL ESTADO DE ZACATECAS.
",INSTITUTO POLITÉCNICO NACIONAL (IPN)
0021_TS,DIGITAL,1992,MÉXICO,"EL USO DE SENSORES REMOTOS PARA LA CUANTIFICACIÓN DE EROSION DE ZONAS ARIDAS Y SEMIARIDAS
","EL USO DE SENSORES REMOTOS PARA LA CUANTIFICACIÓN DE EROSION DE ZONAS ARIDAS Y SEMIARIDAS
",UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM)
0022_TS,FÍSICO,1994,ZACATECAS,"SIMULACIÓN NUMÉRICA DEL ACUIFERO DEL VALLE DE AGUANAVAL, ZAC. 
","SIMULACIÓN NUMÉRICA DEL ACUIFERO DEL VALLE DE AGUANAVAL, ZACATECAS",UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM)
0023_TS,FÍSICO,1995,MÉXICO,"MANEJO ÓPTIMO DEL ACUÍFERO DEL VALLE DE AGUASCALIENTES  BAJO CONTROL DE HUNDIMIENTOS
","MANEJO ÓPTIMO DEL ACUÍFERO DEL VALLE DE AGUASCALIENTES  BAJO CONTROL DE HUNDIMIENTOS
",INSTITUTO POLITÉCNICO NACIONAL (IPN)
0024_TS,DIGITAL,1992,BAJA CALIFORNIA SUR,"ESTUDIO GEOLÓGICO ARROYO LA CRUCES - SISTEMA DE FALLAS, SAN JUAN DE LOS PLANES, ESTADO DE BAJA CALIFORNIA SUR
","ESTUDIO GEOLÓGICO ARROYO LA CRUCES - SISTEMA DE FALLAS, SAN JUAN DE LOS PLANES, ESTADO DE BAJA CALIFORNIA SUR
",UNIVERSIDAD AUTÓNOMA DE BAJA CALIFORNIA SUR (UABCS)
0025_TS,FÍSICO,1996,SONORA,"MÉTODO DE BALANCE DE AGUAS SUBTERRÁNEAS EN EL VALLE ALUVIAL DEL RÍO YAQUI, SONORA
","MÉTODO DE BALANCE DE AGUAS SUBTERRÁNEAS EN EL VALLE ALUVIAL DEL RÍO YAQUI, SONORA
",INSTITUTO TECNOLÓGICO DE SONORA (ITSON)
0026_TS,FÍSICO,1998,SINALOA,"ESTUDIO HIDROLÓGICO DEL RÍO SINALOA EN LA ZONA URBANA DE GUASAVE, SINALOA
","ESTUDIO HIDROLÓGICO DEL RÍO SINALOA EN LA ZONA URBANA DE GUASAVE, SINALOA
",UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM)
0027_TS,FÍSICO,2010,GUANAJUATO,"ANÁLISIS DE LA FORMACIÓN DEL FALLAMIENTO POR SUBSIDENCIA EN LA ZONA DE IRAPUATO, GTO.
","ANÁLISIS DE LA FORMACIÓN DEL FALLAMIENTO POR SUBSIDENCIA EN LA ZONA DE IRAPUATO, GUANAJUATO
",UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM)
0028_TS,FÍSICO,1999,OAXACA,"CARTOGRAFÍA Y ESTRATIGRAFÍA MEDIANTE SENSORES REMOTOS EN UN SISTEMA DE INFORMACIÓN GEOGRAFICA: ÁREA DE HUAJUAPAN DE LEÓN, OAXACA, MÉXICO.
","CARTOGRAFÍA Y ESTRATIGRAFÍA MEDIANTE SENSORES REMOTOS EN UN SISTEMA DE INFORMACIÓN GEOGRAFICA: ÁREA DE HUAJUAPAN DE LEÓN, OAXACA, MÉXICO.
",UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM)
0029_TS,FÍSICO,2000,JALISCO,"ESTUDIO DE EXPLORACIÓN GEOHIDROLÓGICA PARA POZO RADIAL EN PUERTO VALLARTA, JALISCO

","ESTUDIO DE EXPLORACIÓN GEOHIDROLÓGICA PARA POZO RADIAL EN PUERTO VALLARTA, JALISCO

",INSTITUTO POLITÉCNICO NACIONAL (IPN)
0031_TS,DIGITAL,2001,MÉXICO,"ESTUDIO DE ARSENICO Y SELENIO EN AGUAS SUBTERRÁNEAS

","ESTUDIO DE ARSENICO Y SELENIO EN AGUAS SUBTERRÁNEAS

",UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM)
0032_TS,DIGITAL,2002,MÉXICO,"PROSPECCIÓN MAGNÉTICA APLICADA A UN PROBLEMA DE CONTAMINACIÓN POR CROMO, TULTITLÁN, EDO MÉX
","PROSPECCIÓN MAGNÉTICA APLICADA A UN PROBLEMA DE CONTAMINACIÓN POR CROMO, TULTITLÁN, ESTADO DE MÉXICO
",UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM)
0033_TS,FÍSICO,2003,OAXACA,"CARACTERIZACIÓN DE LOS SISTEMAS DE DESCARGA DE  AGUAS SUBTERRÁNEAS EN LA REGIÓN DE VALLES CENTRALES, OAXACA.
","CARACTERIZACIÓN DE LOS SISTEMAS DE DESCARGA DE  AGUAS SUBTERRÁNEAS EN LA REGIÓN DE VALLES CENTRALES, OAXACA.
",UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM)
0034_TS,DIGITAL,2004,MÉXICO,"APLICACIÓN DE UN MODELO DE SIMULACIÓN DE AGUAS SUBTERRÁNEAS (MODFLOW) PARA PREDECIR EL IMPACTO DE LAS EXTRACIONES EN EL ALMACENAMIENTO Y CONSERVACIÓN DE LOS ACUÍFEROS

","APLICACIÓN DE UN MODELO DE SIMULACIÓN DE AGUAS SUBTERRÁNEAS (MODFLOW) PARA PREDECIR EL IMPACTO DE LAS EXTRACIONES EN EL ALMACENAMIENTO Y CONSERVACIÓN DE LOS ACUÍFEROS

",UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM)
0036_TS,FÍSICO,2005,CHIHUAHUA,"GEOHIDROLOGÍA DE LA SIERRA SANTA EULALIA; ALTERNATIVA DE ABASTECIMIENTO PARA CHIHUAHUA, CHIH MÉXICO.
","GEOHIDROLOGÍA DE LA SIERRA SANTA EULALIA; ALTERNATIVA DE ABASTECIMIENTO PARA CHIHUAHUA, CHIHUAHUA MÉXICO.
",UNIVERSIDAD AUTÓNOMA DE CHIHUAHUA (UACH)
0037_TS,FÍSICO,2006,MÉXICO,"EVALUACIÓN DE RIESGO ECOLÓGICO EN UN SITIO CONTAMINADO CON HIDROCARBUROS EN MÉXICO
","EVALUACIÓN DE RIESGO ECOLÓGICO EN UN SITIO CONTAMINADO CON HIDROCARBUROS EN MÉXICO
",UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM)
0038_TS,FÍSICO,2006,SONORA,"PROPUESTA DE UN MODELOS INTEGRAL PARA LA RECUPERACIÓN DE UN ACUÍFERO INSTRUSIONADO, SOMETIDO A USO INTENSIVO DE AGUA SUBTERRÁNEA: EL ACUÍFERO COSTA DE HERMOSILLO, SONORA, MÉXICO. 
","PROPUESTA DE UN MODELOS INTEGRAL PARA LA RECUPERACIÓN DE UN ACUÍFERO INSTRUSIONADO, SOMETIDO A USO INTENSIVO DE AGUA SUBTERRÁNEA: EL ACUÍFERO COSTA DE HERMOSILLO, SONORA, MÉXICO. 
",UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM)
0039_TS,DIGITAL,2007,OTRO O INTERNACIONAL,"EVALUACIÓN DE LA SUSTENTABILIDAD EN LA INSTALACIÓN DE PLANTAS DESALADORAS, DE AGUA DE MAR, EN LA REGIÓN NOROESTE DE MÉXICO
","EVALUACIÓN DE LA SUSTENTABILIDAD EN LA INSTALACIÓN DE PLANTAS DESALADORAS, DE AGUA DE MAR, EN LA REGIÓN NOROESTE DE MÉXICO
",UNIVERSIDAD DE LAS PALMAS DE GRAN CANARIA
0040_TS,FÍSICO,2007,MÉXICO,"ANÁLISIS E INTEGRACIÓN DE MAPAS ESCALA 1:50 000 PARA SU PUBLICACIÓN Y DIFISIÓN EN LA INTRANET DE LA COMISIÓN NACIONAL DEL AGUA.

","ANÁLISIS E INTEGRACIÓN DE MAPAS ESCALA 1:50 000 PARA SU PUBLICACIÓN Y DIFISIÓN EN LA INTRANET DE LA COMISIÓN NACIONAL DEL AGUA.

",UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM)
0041_TS,FÍSICO,2007,MORELOS,"CARACTERIZACIÓN DE AMIBAS DE VIDA LIBRE PRESENTES EN AGUA SUBTERRÁNEA DEL ACUÍFERO DE ZACATEPEC MORELOS

","CARACTERIZACIÓN DE AMIBAS DE VIDA LIBRE PRESENTES EN AGUA SUBTERRÁNEA DEL ACUÍFERO DE ZACATEPEC MORELOS

",UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM)
0042_TS,FÍSICO,2007,MORELOS,"ESTUDIO FISICOQUÍMICO Y BACTERIOLÓGICÕ DEL AGUA 
SUBTERRÁNEA EN LA ZONA NORTE DEL VALLE DE CUERNAVACA, MORELOS, MÉXICO

","ESTUDIO FISICOQUÍMICO Y BACTERIOLÓGICÕ DEL AGUA 
SUBTERRÁNEA EN LA ZONA NORTE DEL VALLE DE CUERNAVACA, MORELOS, MÉXICO

",UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM)
0043_TS,FÍSICO,2007,MORELOS,"ESTUDIO FISICOQUÍMICO Y BACTERIOLÓGICO DEL AGUA SUBTERRÁNEA EN LA ZONA SUR DEL VALLE DE CUERNAVACA, MORELOS, MÉXICO

","ESTUDIO FISICOQUÍMICO Y BACTERIOLÓGICO DEL AGUA SUBTERRÁNEA EN LA ZONA SUR DEL VALLE DE CUERNAVACA, MORELOS, MÉXICO

",UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM)
0044_TS,FÍSICO,2007,MORELOS,"ESTUDIO FISICOQUÍMICO Y BACTERIOLÓGICO DEL AGUA SUBTERRÁNEA EN LAS ZONAS CENTRO-ORIENTE DEL VALLE DE CUERNAVACA, MORELOS, MÉXICO.
","ESTUDIO FISICOQUÍMICO Y BACTERIOLÓGICO DEL AGUA SUBTERRÁNEA EN LAS ZONAS CENTRO-ORIENTE DEL VALLE DE CUERNAVACA, MORELOS, MÉXICO.
",UNIVERSIDAD NACIONAL AUTÓNOMA DE MÉXICO (UNAM)
0045_TS,DIGITAL,2008,CHIHUAHUA,"INVESTIGACIÓN DE LA PRESENCIA DE ARSÉNICO EN EL AGUA SUBTERRÁNEA DEL ACUÍFERO DE MEOQUI DELICIAS, CHIH
","INVESTIGACIÓN DE LA PRESENCIA DE ARSÉNICO EN EL AGUA SUBTERRÁNEA DEL ACUÍFERO DE MEOQUI DELICIAS, CHIHUAHUA
",INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY (ITESM)
